"A(km)","D*bounce_amplitude_1(cm)","D*bounce_amplitude_2(cm)","EOS","MbarICgrav(Msun)","Mgrav1_IC_b(Msun)","Mrest_IC_b(Msun)","SNR(aLIGOfrom10kpc)","T_c_b(MeV)","Ye_c_b","alpha_c_b","beta1_IC_avg","beta1_IC_b","fpeak(Hz)","j_IC_b(g*cm^2|s)","omega_0(rad|s)","omega_max(rad|s)","rPNSequator_b(km)","rPNSpole_b(km)","r_omega_max(km)","rho_c_b(g|ccm)","rhobar_c_postbounce(g|ccm)","s_c_b(kB|baryon)","t_bounce_end(s)","t_postbounce_end(s)","tbounce(s)"
634,3.95980378879731,-2.2131029510014,"SFHo_ecapture_1.0",1.10724671373485,0.5057740956786,0.51239744098554,13.9182830796,13.8993740915066,0.2465,0.840655040964,0,0,862.315789474,0,0,0,69.9280970983,69.9280970983,5,416607550460000,378673620840000,1.13047312239,0.179528586159,0.185528586159,0.176715335205
634,2.62830805611066,-4.42772946488587,"SFHo_ecapture_1.0",1.08983147989543,0.507184269824468,0.513819033423027,7.53851445381,14.0609867069306,0.2465,0.840548169226,0.000801190750433,0.00074856878887,750.309200231,1.87868832303389e+47,0.5,837.938297708,69.9280970983,69.9280970983,5.263255793,416489748862000,377309304734000,1.13161586893,0.17924847119,0.18524847119,0.176937808905
634,6.85809292501019,-16.6986913470503,"SFHo_ecapture_1.0",1.05044015517068,0.511266853611815,0.517920363468457,7.67075524675,14.2447842425355,0.2465,0.840404054338,0.0031546168505,0.00298743815351,827.242636746,3.80877501057147e+47,1,1406.89857457,69.9280970983,68.1468772918,5.263255793,415579382724000,374980808210000,1.12769822321,0.178930510698,0.184930510698,0.17759667897
634,13.2141365778552,-29.7767964697789,"SFHo_ecapture_1.0",1.05073239558594,0.51700504187548,0.52474986260938,17.2167168764,15.080689119111,0.2464999905,0.840512060008,0.00710829124022,0.00666050631606,816.915860259,5.79203175444034e+47,1.5,1831.34714365,69.9280970983,68.1468772918,5.263255793,413637292533000,373650139462000,1.12091464855,0.180044487821,0.186044487821,0.178722049631
634,21.8860587458518,-53.2816310308341,"SFHo_ecapture_1.0",1.05551216958926,0.529112144989991,0.537100830453045,24.1365376432,14.5574414649613,0.246499920437,0.839529519354,0.0126024683525,0.0117343822851,820.598747866,8.01426189632212e+47,2,2483.52210968,69.9280970983,68.1468772918,6.72795089292,410018671801000,371707155795000,1.12241923952,0.181654173256,0.187654173256,0.180332435348
634,36.6848155410555,-78.8340196821372,"SFHo_ecapture_1.0",1.05516148959831,0.534300983599202,0.542318107884024,23.3679011685,14.1184937752203,0.246499914678,0.839611441943,0.0192921441267,0.0179653659435,832.638147314,1.01445279066719e+48,2.5,3008.83676246,69.9280970983,66.4051888646,6.72795089292,408558879557000,368981982814000,1.12478405803,0.183736252708,0.189736252708,0.182433986514
634,56.3435849597933,-112.250671580152,"SFHo_ecapture_1.0",1.05030929830577,0.554152923599559,0.562355466583048,33.7324632168,14.1860232466622,0.246499867237,0.838264405588,0.0270309203707,0.0257466808232,857.664974619,1.29103399926076e+48,3,3192.92610696,69.9280970983,64.7021544797,5.263255793,404002696933000,365574155469000,1.117964666,0.186366736316,0.192366736316,0.185104370439
634,82.2212246607202,-148.542197464447,"SFHo_ecapture_1.0",1.05655798471671,0.562306262198361,0.570566981461146,37.5747695304,13.5516898263726,0.246499819642,0.837538623734,0.0360863171235,0.0343339770385,853.706084243,1.53646817768092e+48,3.5,3771.43305979,69.9280970983,63.0369162713,5.263255793,404099784465000,361143635462000,1.11672540362,0.189598107971,0.195598107971,0.188370393974
634,108.865440291051,-185.940596126517,"SFHo_ecapture_1.0",1.06089906825197,0.583114252361324,0.591575218516952,46.6480388254,14.8894796939239,0.246499759513,0.83502023193,0.0457507442513,0.0444717493824,836.92834748,1.86575351970856e+48,4,4134.6686531,69.9280970983,61.4086354126,5.263255793,398192405332000,355889545077000,1.10572178081,0.19352049862,0.19952049862,0.192335031682
634,133.909353171242,-221.224346290922,"SFHo_ecapture_1.0",1.06307191063295,0.593178107842689,0.601737318784871,56.0536266226,14.1356974936745,0.246499710354,0.834283043189,0.0553625512679,0.0549006071874,837.192290453,2.14983455577404e+48,4.5,4491.63390977,69.9280970983,59.816491693,5.263255793,389310505496000,349248622908000,1.11956854421,0.19823641744,0.20423641744,0.197072006246
634,155.647729694572,-252.015472467824,"SFHo_ecapture_1.0",1.06572465135488,0.611326430166122,0.619993141211649,65.0623661469,13.9842660365433,0.246499645814,0.834061710789,0.0659574873352,0.0666151697899,848.023262576,2.51056127599124e+48,5,4881.78123399,71.749745534,56.7374254426,5.263255793,378942240231000,343388708905000,1.11920230778,0.203879015204,0.209879015204,0.202756684187
634,164.76781540605,-284.722048064628,"SFHo_ecapture_1.0",1.06915014754914,0.636478771227753,0.645207776895478,73.0837224109,13.9163726306019,0.246499552319,0.834258291092,0.0776454278818,0.07990173379,863.105289105,2.97369973690932e+48,5.5,5337.42028268,71.749745534,53.7935126932,6.34935918449,365543234061000,336428422624000,1.12412861401,0.210643168943,0.216643168943,0.209551699685
634,145.266958847784,-307.294984068606,"SFHo_ecapture_1.0",1.07439391370469,0.653648005879022,0.662405967871368,79.5890595271,13.2405209866243,0.24649947893,0.835240702836,0.089540893232,0.0926050177176,876.304350777,3.39221670334436e+48,6,5676.11230787,71.749745534,50.9788209745,6.34935918449,353576485107000,328348483178000,1.1282163668,0.218795115768,0.224795115768,0.217703033233
634,109.544285667872,-338.178273802843,"SFHo_ecapture_1.0",1.08272113538786,0.675579845353504,0.684316044340284,84.6356032097,12.9944441166549,0.246499383978,0.836512816209,0.101199627136,0.106193730512,882.10884973,3.89622547127451e+48,6.5,5920.35499518,69.9280970983,45.714661327,5.263255793,340027917364000,319524441309000,1.13241165998,0.22865015643,0.23465015643,0.227553105556
634,76.9624887587498,-362.369922934108,"SFHo_ecapture_1.0",1.08799520908451,0.696886199608519,0.705527110741753,89.2514441006,12.5761559428245,0.246499291495,0.838292863284,0.112450825651,0.120124420174,903.693297057,4.43765913443489e+48,7,6126.93448939,69.9280970983,42.0653421917,5.263255793,328561574007000,310852485976000,1.13730343744,0.240745658874,0.246745658874,0.23962870742
